Defective sample quantity (As a percent of all available real data),Accuracy,F1,Defective Precision,Defective Recall,Non-defective precision,Non-defective recall,Number of real defective images,Number of real non-defective images,Number of synthetic defective images
100% real,0.9728915663,0.9728885532,0.9631268437,0.9834337349,0.9830769231,0.9623493976,5307,5307,0
90% real,0.968373494,0.9683717006,0.9614243323,0.9759036145,0.9755351682,0.9608433735,4776,5307,0
90% real + 10% oversampled,0.968373494,0.9683699787,0.9587020649,0.9789156627,0.9784615385,0.9578313253,4776,5307,0
90% real + 10% synthetic data,0.9676204819,0.9676195823,0.9627421759,0.9728915663,0.9726027397,0.9623493976,4776,5307,532
75% real,0.9676204819,0.9676200229,0.971168437,0.9638554217,0.9641255605,0.9713855422,3980,5307,0
75% real + 25% oversampled,0.9676204819,0.9676182602,0.96,0.9759036145,0.9754977029,0.9593373494,3980,5307,0
75% real + 25% synthetic data,0.9638554217,0.96385411,0.9583333333,0.9698795181,0.9695121951,0.9578313253,3980,5307,1328
50% real,0.953313253,0.9533026615,0.9673913043,0.938253012,0.9400584795,0.968373494,2654,5307,0
50% real + 50% oversampled,0.969126506,0.9691256482,0.9741248097,0.9638554217,0.9642324888,0.9743975904,2654,5307,0
50% real + 50% synthetic data,0.9706325301,0.9706325134683194,0.969924812,0.9713855422,0.9713423831,0.9713855422,2654,5307,2653
25% real,0.9390060241,0.938915935,0.9755301794,0.9006024096,0.9076923077,0.9774096386,1327,5307,0
25% real + 75% oversampled,0.9615963855,0.9615963638,0.9622926094,0.9608433735,0.9609022556,0.9623493976,1327,5307,0
25% real + 75% synthetic data,0.9540662651,0.9540587366,0.9659969088,0.9412650602,0.9427312775,0.9668674699,1327,5307,3980
10% real,0.9171686747,0.9167864817,0.984939759,0.8493975904,0.8673740053,0.984939759,531,5307,0
10% real + 90% oversampled,0.9352409639,0.9352290643,0.9473684211,0.921686747,0.9237536657,0.9487951807,531,5307,0
10% real + 90% synthetic data,0.9292168675,0.9290520879,0.975,0.8810240964,0.8914835165,0.9774096386,531,5307,4776
