,Index,ImageId,ClassId,instance_center_x,instance_min_x,instance_max_x,instance_std_x,instance_size,window_size,all_instances_fit_in_window,all_overlapping_appx_centered
0,3235,fd9b1a987.jpg,-1,987.0,,,,,160,,
1,521,cd38fd93a.jpg,-1,435.0,,,,,160,,
2,2376,df5a28d84.jpg,-1,573.0,,,,,160,,
3,433,f438726f9.jpg,-1,968.0,,,,,160,,
4,2409,0a76ac9b8.jpg,-1,1366.0,,,,,160,,
5,1100,ec5949047.jpg,-1,1269.0,,,,,160,,
6,5429,aacd660b3.jpg,-1,1316.0,,,,,160,,
7,2594,5cf1e588e.jpg,-1,396.0,,,,,160,,
8,674,aaca761e4.jpg,-1,229.0,,,,,160,,
9,1390,eb27105ee.jpg,-1,948.0,,,,,160,,
10,5723,6a7567d37.jpg,-1,1204.0,,,,,160,,
11,4791,d7bd3c79c.jpg,-1,877.0,,,,,160,,
12,5563,a0f71aeed.jpg,-1,115.0,,,,,160,,
13,1672,25b9fd0af.jpg,-1,1164.0,,,,,160,,
14,3460,8cec737ef.jpg,-1,1110.0,,,,,160,,
15,4184,100de36e9.jpg,-1,159.0,,,,,160,,
16,4843,bc746015b.jpg,-1,1219.0,,,,,160,,
17,3623,1ebf04057.jpg,-1,1112.0,,,,,160,,
18,3923,c1ce86b24.jpg,-1,303.0,,,,,160,,
19,4530,329153502.jpg,-1,1438.0,,,,,160,,
20,5105,e430d4f76.jpg,-1,1374.0,,,,,160,,
21,5288,a72dbed7c.jpg,-1,1381.0,,,,,160,,
22,324,633b2f9e5.jpg,-1,273.0,,,,,160,,
23,1351,66480ece5.jpg,-1,272.0,,,,,160,,
24,4328,2777ae1e1.jpg,-1,829.0,,,,,160,,
25,5584,a30f25e82.jpg,-1,230.0,,,,,160,,
26,1972,b49b2a0ee.jpg,-1,370.0,,,,,160,,
27,2224,f3a5748e2.jpg,-1,725.0,,,,,160,,
28,4874,5386596d5.jpg,-1,536.0,,,,,160,,
29,1380,d8fe48b12.jpg,-1,1429.0,,,,,160,,
30,2063,701bb18db.jpg,-1,1127.0,,,,,160,,
31,5778,14003a7d9.jpg,-1,1472.0,,,,,160,,
32,1576,a8fc850dc.jpg,-1,676.0,,,,,160,,
33,5791,088ecc915.jpg,-1,1061.0,,,,,160,,
34,479,70365a449.jpg,-1,1057.0,,,,,160,,
