,Index,ImageId,ClassId,instance_center_x,instance_min_x,instance_max_x,instance_std_x,instance_size,window_size,all_instances_fit_in_window,all_overlapping_appx_centered
5307,14246,df70a7e07.jpg,1,1384.1471264367815,1370.0,1400.0,8.074924609644766,30.0,160,True,True
5308,2664,29f50b1fd.jpg,1,1408.2309142318568,1391.0,1422.0,7.72637782174113,31.0,160,True,True
5309,8341,846788254.jpg,1,1335.52691292876,1327.0,1344.0,4.663640160487117,17.0,160,True,True
5310,9943,9c27c1365.jpg,1,456.0418994413408,450.0,463.0,3.7522326718112127,13.0,160,True,True
5311,15645,f6d0cca5b.jpg,1,318.66923076923075,310.0,327.0,4.785215149151462,17.0,160,True,True
5312,11873,b925ef3b7.jpg,1,580.5900079302141,567.0,593.0,7.389419215078962,26.0,160,True,True
5313,6994,6eb8690cd.jpg,1,1497.7129071170084,1476.0,1520.0,10.642829007405794,44.0,160,True,True
5314,5102,52cf9caf9.jpg,1,115.88339222614842,104.0,131.0,6.589731798127067,27.0,160,True,True
5315,7092,7046618f6.jpg,1,303.24285714285713,294.0,312.0,5.080595337122594,18.0,160,True,True
5316,15099,ed3f080c3.jpg,1,207.97847478474785,193.0,221.0,7.448397576392271,28.0,160,True,True
5317,3508,380c01646.jpg,1,303.35855855855857,292.0,319.0,7.06056767832903,27.0,160,True,True
5318,8819,8bb208f36.jpg,1,264.78511235955057,256.0,272.0,4.523056133316072,16.0,160,True,True
5319,15341,f1c0e4d32.jpg,1,574.9300613496932,562.0,584.0,5.732162355717939,22.0,160,True,True
5320,6560,683ad3cc1.jpg,1,210.8646112600536,198.0,223.0,6.576761197699231,25.0,160,True,True
5321,7287,736c09835.jpg,1,534.3569457221711,520.0,546.0,7.154588536703464,26.0,160,True,True
5322,5478,5994c3b58.jpg,1,558.529695024077,543.0,572.0,6.988778053929456,29.0,160,True,True
5323,3713,3b58d7324.jpg,1,1479.6436954559133,1463.0,1500.0,9.435881080557149,37.0,160,True,True
5324,14402,e29a708e0.jpg,1,166.56578204404292,151.0,185.0,8.701560650790407,34.0,160,True,True
5325,5694,5ba141d56.jpg,1,1367.429320817228,1356.0,1380.0,4.959510441932371,24.0,160,True,True
5326,14611,e6123fb08.jpg,1,499.90115321252057,492.0,508.0,4.764308059890833,16.0,160,True,True
5327,4770,4d930ad34.jpg,1,166.76138147566718,157.0,177.0,5.360142747504827,20.0,160,True,True
5328,8887,8ccb9bbc9.jpg,1,658.4122621564482,649.0,669.0,5.349637690897807,20.0,160,True,True
5329,8573,87c733c21.jpg,1,354.03312629399585,342.0,363.0,5.411717594972518,21.0,160,True,True
5330,2193,229500455.jpg,1,608.9171686746988,590.0,623.0,7.843004353231091,33.0,160,True,True
5331,15543,f55acfc8e.jpg,1,835.6403612092658,818.0,856.0,8.215744479285815,38.0,160,True,True
5332,5968,5fccf97d8.jpg,1,172.71243243243242,159.0,185.0,6.644608220775456,26.0,160,True,True
5333,6754,6b634bbe9.jpg,1,230.4053794428434,220.0,240.0,5.793511382189737,20.0,160,True,True
5334,9052,8ed31effd.jpg,1,318.6923076923077,307.0,328.0,5.720650160978191,21.0,160,True,True
5335,4121,42935bb3a.jpg,1,391.01194029850745,381.0,402.0,6.078823589745116,21.0,160,True,True
5336,7286,736c09835.jpg,1,525.7649769585254,512.0,541.0,7.273147958117396,29.0,160,True,True
5337,5833,5cf4adf72.jpg,1,657.8473609129815,635.0,672.0,8.448017402212606,37.0,160,True,True
5338,14223,deff23782.jpg,1,804.3300099700897,795.0,817.0,5.263331523258735,22.0,160,True,True
5339,14482,e401b6539.jpg,1,187.24398073836275,176.0,197.0,5.237676038601784,21.0,160,True,True
5340,2850,2d759458e.jpg,1,1465.9940334128878,1454.0,1478.0,5.379064225458211,24.0,160,True,True
5341,689,0a4ad45a5.jpg,1,1077.1290801186944,1066.0,1088.0,5.290909570162243,22.0,160,True,True
5342,12981,cc3b99f17.jpg,1,1150.9678597516436,1136.0,1162.0,6.837922541355099,26.0,160,True,True
5343,1171,11f788ecf.jpg,1,480.7281468531468,465.0,496.0,7.808596083139592,31.0,160,True,True
5344,5088,527d11e5a.jpg,1,82.87395596051633,69.0,94.0,6.551418997466793,25.0,160,True,True
5345,11558,b4b5c6a86.jpg,1,563.5560975609756,550.0,579.0,7.391691076207908,29.0,160,True,True
5346,6660,69df9d97b.jpg,1,167.9093137254902,160.0,177.0,4.331724232121078,17.0,160,True,True
5347,8385,84ba31d0a.jpg,1,1148.019436345967,1127.0,1171.0,12.3953191607663,44.0,160,True,True
5348,4355,460e2213c.jpg,1,625.730010384216,619.0,632.0,3.6508868465411672,13.0,160,True,True
5349,8737,8a87b9578.jpg,1,396.89413118527045,384.0,409.0,6.963595957839113,25.0,160,True,True
5350,15514,f482c3553.jpg,1,250.3365650969529,237.0,263.0,7.128734593144985,26.0,160,True,True
5351,3409,36e512a45.jpg,1,634.8470824949699,625.0,644.0,5.054706408934007,19.0,160,True,True
5352,9540,954d4296b.jpg,1,638.1199677938808,630.0,648.0,4.171555083971503,18.0,160,True,True
5353,2825,2c956317b.jpg,1,547.1531774580336,525.0,574.0,10.705350730745296,49.0,160,True,True
5354,5339,57239737a.jpg,1,566.4253731343283,558.0,575.0,4.914761295537563,17.0,160,True,True
5355,9453,941e9a9d6.jpg,1,463.99719887955183,455.0,472.0,4.5678811687927725,17.0,160,True,True
5356,9566,9586cb6e3.jpg,1,206.5646687697161,188.0,227.0,9.194519745182191,39.0,160,True,True
5357,9280,91b250f41.jpg,1,1384.5610700457585,1366.0,1411.0,9.231651595551453,45.0,160,True,True
5358,3070,308cc088e.jpg,1,476.6378132118451,467.0,487.0,5.66357749345197,20.0,160,True,True
5359,10224,a0de93374.jpg,1,1223.5746835443038,1215.0,1231.0,4.450159102672207,16.0,160,True,True
5360,7523,76adc6361.jpg,1,1022.577065351418,1007.0,1035.0,6.102286104690387,28.0,160,True,True
5361,4691,4c47ebc03.jpg,1,861.0344234079174,846.0,872.0,6.209478374564127,26.0,160,True,True
5362,13844,d89d52e53.jpg,1,204.57939393939395,195.0,214.0,4.875050855612868,19.0,160,True,True
5363,11922,b9fa8b135.jpg,1,149.69096844396083,136.0,163.0,7.527117102875246,27.0,160,True,True
5364,5143,537e66c26.jpg,1,465.4054054054054,458.0,473.0,4.067503677467027,15.0,160,True,True
5365,9882,9b63ed48c.jpg,1,419.9127358490566,411.0,428.0,4.341487883598413,17.0,160,True,True
5366,5153,539a30638.jpg,1,449.9939516129032,440.0,461.0,5.34514059058717,21.0,160,True,True
5367,16115,fea4c4feb.jpg,1,1392.8701082431307,1378.0,1406.0,7.487082235731297,28.0,160,True,True
5368,15150,edc0d2bf8.jpg,1,1359.9965928449744,1352.0,1369.0,4.231381340718316,17.0,160,True,True
5369,3217,3325e2266.jpg,1,477.95272727272726,470.0,486.0,4.021029020060075,16.0,160,True,True
5370,6964,6e4a1d647.jpg,1,1264.993670886076,1256.0,1276.0,5.52977765872871,20.0,160,True,True
